単語,意味
draft,下書き；為替手形；隙間風
barrel,バレル（液量の単位）；たる
timber,【英】 木材；樹木
garment,衣服
thread,糸；（議論などの）筋道
cabinet,〔しばしばthe C-〕内閣；戸棚
bureau,（官庁の）局；事務局；案内所
autonomy,（個人の）自律；自治（権）；自治体
toll,損害（の程度）；死傷者数；通行料
discourse,話し合い，会話；講演；論説
superstition,迷信
glimpse,ちらりと見えること
arithmetic,計算；算数
glossary,用語小辞典；用語集
archive,〔しばしば～s〕記録文書，公文書；公文書保管所；（コンピューターの）アーカイブ
legacy,遺産
anthropology,人類学
rage,激怒；猛威
sorrow,悲しみ
psychiatrist,精神科医
ward,行政区；病棟
stall,露店；エンスト；失速
flame,炎；情熱
moisture,水分；湿気
irony,皮肉
warrior,戦士
astronomy,天文学
probe,（無人）宇宙探査機；（～の）精査（into）；探り針
altitude,高度，標高
tumor,腫瘍；腫れ物
defect,欠陥；不足
sanitation,公衆衛生（学）；下水［衛生］設備
longevity,長寿；寿命；長年勤続
scope,（活動・能力などの）範囲；余地
sentiment,感情；感想；感傷
plausible,もっともらしい
vigorous,精力的な；激しい；活力のある
masculine,男らしい
rigid,厳しい；硬直した
adverse,不都合な；逆の
coherent,一貫した，筋の通った；結束した
literal,文字どおりの；逐語的な；散文的な
arbitrary,恣意的な；独断的な
anonymous,匿名の
antique,骨董の，アンティークの；古風な
eternal,永遠の；不変の
intermediate,中級の；中間の
subordinate,（～より）下位の（to）；副次的な
gloomy,陰気な；薄暗い；悲観的な
thermal,熱の，熱による；保温用の
faint,かすかな；めまいがする；弱々しい
naive,お人よしの，愚直な；純朴な
apt,（…する）傾向がある（to do）；適切な；利発な
arrogant,横柄な，傲慢な
extrovert,外向的な；社交的な
conspicuous,目立つ
intact,損なわれていない，手つかずの
embody,を具現する；を包含する
illuminate,を照らす；を解明する
console,を慰める
verify,の正しさを証明［確認］する
disclose,を公表する，暴く
stack,を積む，積み重ねる；〔～ upで〕（車が）渋滞する
rotate,回転する；循環する；を回転させる
constrain,に（…することを）強いる（to do）；を抑える
hinder,を妨げる
withstand,に耐える
tweet,（を）ツイートする，つぶやく
sneeze,くしゃみをする
erupt,（火山が）噴火する；勃発する
blur,をぼかす；を曇らせる；をあいまいにする
overlap,（一部）重なる；（と）重複［共通］する
embed,〔通例受身形で〕埋め込まれる，はめ込まれる
displace,に取って代わる；を移動させる
render,を（ある状態に）する；（援助など）を与える
plunge,（～に）（を）突っ込む（into）；没頭する；陥る
surrender,を放棄する，引き渡す；（～に）屈する（to）
plug,〔plug inで〕のプラグを電源に差し込む；を（～で）ふさぐ（with）
suck,（を）吸う；（を）しゃぶる
mock,をばかにする；のまねをしてからかう
tease,（を）からかう；をいじめる
soothe,をなだめる；を和らげる
stain,を汚す；に着色する
shun,を避ける
stumble,よろけながら歩く；（～に）つまずく（on / over）
flush,を紅潮させる；を水で流す；紅潮する
impair,を損なう
presume,と思う；と推定する；を前提とする
contend,と主張する；競う
roar,うなる，ほえる；大笑いする
haunt,（記憶・考えなどが）につきまとう；（幽霊などが）に出る；によく行く
divert,（注意など）をそらす；を迂回させる；（資金など）を転用する
await,を待つ
fetch,を（行って）持って［連れて］くる
unify,を統合［統一］する；統一される
inspect,を点検する；を視察する
entail,を伴う，引き起こす；（…すること）を含む（doing）
tactics,作戦，方策；戦術，戦法
feat,偉業，功績；妙技
prestige,名声；〔形容詞的に〕名声のある
analogy,類推；類似
conscience,良心；分別
textile,織物；繊維（産業）
deficit,赤字，不足；欠陥
plague,疫病；（害虫などの）異常発生
hazard,危険（要素）；偶然
metabolism,（新陳）代謝，代謝作用
paralysis,麻痺；〔比喩的に〕麻痺（状態）
grid,（電気などの）供給網；格子（模様）；碁盤目
carriage,馬車；車両；立ち居振舞い；【英】輸送
friction,不和；摩擦
rebel,反逆者
regime,政権，政体；体制
monopoly,独占（権）
staple,必需食品；主要産物
merchandise,商品
vendor,物売り，行商人；自動販売機
supervisor,監督者；指導教員
predecessor,前任者；前のもの
personnel,〔集合的に〕職員，社員
vessel,船舶；容器；（体液が通る）脈管
liver,肝臓
duration,（時間の）継続，持続（時間）
certificate,証明書；免許状
geometry,幾何学
symmetry,（左右）対称；調和
biography,伝記
masterpiece,傑作
rhyme,押韻詩；韻；〔通例～s〕詩歌
premium,保険料；プレミア；景品
breakdown,崩壊；（神経）衰弱；故障；内訳
courtesy,礼儀正しさ；好意；優遇
protocol,（条約）議定書；外交儀礼；プロトコル
specimen,標本；実例
thesis,論文；命題，テーゼ
eligible,適格の，資格のある；（結婚相手として）望ましい
intrinsic,固有の，本質的な
diligent,勤勉な；入念な
vocational,職業の，職業訓練の（ための）
bankrupt,破産宣告を受けた；破綻している
stern,厳しい；いかめしい
stubborn,頑固な，強情な；手に負えない
maternal,母の，母親らしい；妊婦の
fertile,肥沃な；多産の
ripe,熟した；成熟した
stiff,硬直した，凝った；堅い
obsolete,廃れた，使われなくなった；古くなった
vacant,空いている
acoustic,音響の；聴覚の；（楽器が）アコースティックの
preliminary,予備の，準備の
approximate,おおよその
implicit,暗黙の；内在する
punctual,時間を守る
compatible,矛盾しない；互換性のある；気が合う
ample,十分すぎるほどの；広い
pervasive,隅々に広がった；浸透する；充満する
ubiquitous,至る所にある
deduce,を推測する，演繹する
simulate,を模擬実験する；を装う；をまねる
merge,（を）合併する；を融合させる；溶け込む
penetrate,（に）浸透する；（に）進出する；（を）貫く；（を）見抜く
cater,（の）料理をまかなう；（要望などに）応える
assault,に暴行する；を攻撃する
torture,を拷問にかける；を苦しめる
bleed,出血する
erect,を建てる；を直立させる
cherish,を大切にする；を心に抱く
arouse,（感情など）を引き起こす；を目覚めさせる
doom,〔通例受身形で〕運命にある
mourn,（を）悼む；（を）嘆く
dread,をひどく恐れる
nourish,に栄養を与える；をはぐくむ
inject,（人）に注射する，を注入する；を導入する
swear,（～を）ののしる（at）；（を）誓う
bid,（～に）の値をつける；（挨拶）を述べる
corrupt,を堕落させる；を買収する；堕落する
preoccupy,の心を奪う，を夢中にさせる
browse,（を）拾い読みする；（を）閲覧する；（商品など）を見て歩く
compile,を編集する；（資料など）をまとめる
allocate,を割り当てる，分配する
offset,を相殺する，埋め合わせる；をオフセット印刷にする
restrain,を制止する；を規制する
comply,従う，応じる
expire,期限が切れる
embark,（～に）乗り出す（on）；乗船［搭乗］する
flap,パタパタ動く；羽ばたく；をパタパタ動かす
furnish,に（～を）備えつける（with）
forge,を偽造する；（関係など）を築く；を鍛造する
thrust,を押しつける；を突き刺す；押し進む
dispatch,を派遣する；を発送する；を処理する
resent,に憤慨する
reconcile,を（～と）一致させる（with）；を和解させる
allege,を主張する
oppress,を抑圧［迫害］する；を悩ませる
expel,を追放する；を吐き出す
ascend,（を）上がる
commence,始まる；を開始する；…し始める（to do / doing）
advent,〔the ～〕出現，到来
reign,治世；統治
diplomacy,外交（的手腕）
embassy,大使館；大使一行
exile,亡命（者）；（国外）追放
refuge,避難（所）；保護
plight,窮状；（悪い）状態
solitude,ひとりでいること；孤独
fallacy,誤った考え，誤信；錯誤
latitude,緯度；（行動・思想などの）許容範囲
eclipse,（日食・月食などの）食；（名声などの）失墜
basin,流域；盆地，海盆；洗面器［台］
erosion,浸食；衰退
archaeology,考古学
errand,（人の）使い，使い走り；用件
mercy,慈悲；〔通例a ～〕幸運
rhetoric,修辞（法）；美辞麗句
verse,韻文；詩
congestion,混雑
sewage,下水
complement,（～の）補完物，補足（to）；（文法の）補語
subsidy,補助金；報奨金
mortgage,住宅ローン；抵当（権）
attorney,【米】 弁護士；代理人
outfit,衣装一式；装備［道具］一式；組織
bulk,〔the ～〕（～の）大半（of）；大きさ；大量
reunion,再会（の集い）；再結合
synthesis,合成；総合
mold,鋳型；鋳物；性格；かび
thirst,（のどの）渇き；（～に対する）渇望（for）
greed,強欲
bribe,賄賂
contempt,軽蔑；恥辱
texture,感触，手触り；本質；質感
orphan,孤児
harassment,嫌がらせ，ハラスメント
hay,干し草
doctrine,教義；【米】（政策上の）主義
holistic,全体論の；（医療が）ホリスティックの
liable,しがちな；責任がある；受けやすい
earnest,まじめな，熱心な
intelligible,（簡単に）理解できる
abrupt,突然の
reckless,無謀な；（～を）顧みない（of）
furious,激怒した；猛烈な
eloquent,雄弁な；説得力のある
juvenile,青少年の
notorious,悪名高い
timid,臆病な；内気な
humid,湿気のある
contagious,感染（性）の；病気を伝染する
cynical,冷笑的な，皮肉な
dumb,ばかな；口のきけない；無言の
monotonous,単調な
perpetual,永続的な；ひっきりなしの
dizzy,目まいがする；当惑した
weary,疲れ果てた；（～に）うんざりした（of）
numb,麻痺した，無感覚な；ぼう然とした
mortal,致命的な；死すべき（運命の）
zealous,熱心な；熱狂的な
